,message_id,from_id,date,message_text
0,13059,,2024-09-28 14:06:43+00:00,"High pressure water Gun nozzle

   መኪና ለማጠብ
   ግቢ ለማፅዳት ተመራጭ
   የራሱ መለዋወጫ ያለው"
1,13058,,2024-09-28 13:26:43+00:00,"  ገብቷል ውስን ፍሬ ይፍጠኑ

 ቤቶ ሁነው የተለያዩ ስራዎችን እየሰሩ ትርፍማ ይሁኑ

የዘይት መጭመቂያ ማሽን

በተለያዩ የቅባት እህሎች ንፁህ ዘይት ማምረት የሚያስችል

ለሆቴሎች፣ለድርጅቶች ተመራጭ

አዲስ ቢዝነስ ለመጀመር ለምታስቡ አማራጭ ስራ የሚሆን

በአነስተኛ የኤሌትሪክ ሀይል የሚሰራ

ኳሊቲ አስተማማኝ እቃ

ለአጠቃቀም ቀላል

 82,000"
2,13057,,2024-09-28 09:15:17+00:00," ወርቃማው የሲኒ ረከቦት

4 in 1 የጀበና ማስቀመጫ፣ የስኳን ማስቀመጫ ፣ የእጣን ማጬሻ ያለው

    ከ 3 ሺ ብር ጀምረው ሲገዙ ስጦታ በነፃ አዘጋጅተናል 

 ዋጋ፦   16,800

 የመረጡትን እቃ በውስጥ መስመር ይላኩልን @abdulihake

 አድራሻ 
1⃣ኮልፌ አጠናተራ ሱ,ቁ095ወይም046
2⃣ቤተል አደባባይ  
ያሉበት ድረስ በነፃ እናመጣለን

 +251920673552/0945540673

@nejashionlinemarketing
 tiktok.com/@nejashi_online_shop
https://nejashionlineshop.com/"
3,13056,,2024-09-27 11:16:28+00:00," ወርቃማው የሲኒ ረከቦት

4 in 1 የጀበና ማስቀመጫ፣ የስኳን ማስቀመጫ ፣ የእጣን ማጬሻ ያለው

    ከ 3 ሺ ብር ጀምረው ሲገዙ ስጦታ በነፃ አዘጋጅተናል 

 ዋጋ፦   

 የመረጡትን እቃ በውስጥ መስመር ይላኩልን @abdulihake

 አድራሻ 
1⃣ኮልፌ አጠናተራ ሱ,ቁ095ወይም046
2⃣ቤተል አደባባይ  
ያሉበት ድረስ በነፃ እናመጣለን

 +251920673552/0945540673

@nejashionlinemarketing
 tiktok.com/@nejashi_online_shop
https://nejashionlineshop.com/"
4,13055,,2024-09-26 10:53:59+00:00," ወርቃማው የሲኒ ረከቦት

4 in 1 የጀበና ማስቀመጫ፣ የስኳን ማስቀመጫ ፣ የእጣን ማጬሻ ያለው

    ከ 3 ሺ ብር ጀምረው ሲገዙ ስጦታ በነፃ አዘጋጅተናል 

 ዋጋ፦   16,200 ብር

 የመረጡትን እቃ በውስጥ መስመር ይላኩልን @abdulihake

 አድራሻ 
1⃣ኮልፌ አጠናተራ ሱ,ቁ095ወይም046
2⃣ቤተል አደባባይ  
ያሉበት ድረስ በነፃ እናመጣለን

 +251920673552/0945540673

@nejashionlinemarketing
 tiktok.com/@nejashi_online_shop
https://nejashionlineshop.com/"
7,13052,,2024-09-26 09:14:07+00:00," እደዚ አይነት ጁሰር አይተው ያቃሉ
RAF
JUICER

78mm big feeding mouth
Safety-lock & cooling system
Low-noise & fully copper motor
Juice & pomace separation
150W DC motor"
8,13051,,2024-09-26 07:56:13+00:00," እደዚ አይነት ጁሰር አይተው ያቃሉ
RAF
JUICER

78mm big feeding mouth
Safety-lock & cooling system
Low-noise & fully copper motor
Juice & pomace separation
150W DC motor"
9,13050,,2024-09-24 18:21:06+00:00,"ኦርቢት የልብስ ማጠቢያ ማሽን
የጃፓን ቴክኖሎጂ 
ባለ 3 ሞተር ትልቅ አቅም ያለው
በፍጥነት ማጠብ የሚችል
Twin Tub/ ባለ 2 ገንዳ ለማጠቢያና ለመጭመቂያ 
Spin Timer/መጭመቂያው የጊዜ መቆጣጠሪያ ያለው 
ኤሌትሪክ ኃይል እና ውኃ ቆጣቢ 
 ተጨማሪ የማድረቅ ጊዜን ይቀንሳል/ ከቤት ውጭ/ ውስጥ በማስጣት በንፋስ ሀይል ብቻ ለማድረቅ ያስችላል

 አንድ ዓመት የዋስትና ጊዜ ያለው


 አድራሻ  

  ኮልፌ አጠናተራ ሱ,ቁ 095 ወይም 046

  ቤተል አደባባይ  ኑረዲን ሱፐር ማርኬት ከፍ ብሎ  

 ያሉበት ድረስ በነፃ እናመጣለን

 የመረጡትን እቃ በውስጥ መስመር ለማውራት        @abdulihake   ይንኩት

 በስልክ ለማዘዝ
   
 +251920673552 
    +251945540673

 Telegram  ነጃሺ ኦላይን 
@nejashimarketingcenter 
@nejashimarketingcenter

 ነጃሺ Online ለወዳጅ ዘመዶ ይላኩ ይሸምቱ ፣ ይደሰቱ፣ ጊዜዎን ይቆጥቡ"
10,13049,,2024-09-24 16:08:37+00:00,"TV     ቲቪ   ለምትፈልጉ

  32 ኢንች 43 ኢንች 50 ኢንች 55 ኢንች 65 ኢንች 75 ኢንች 
  ደብል ስክሪን  የሆነ ልጆች የማያበላሹት
  ፉል ስማርት የሆነ ከስልካቹ ማገናኘት የምትችል
 ድምፁ ከፍታ የሆነ
  የምስል ጥራቱ ዋው የሚያስብል ቆጆ ቆጆ  ቲቪዎች አሉ

    ከ 3 ሺ ብር ጀምረው ሲገዙ ስጦታ በነፃ አዘጋጅተናል 

 ዋጋ፦   

 የመረጡትን እቃ በውስጥ መስመር ይላኩልን @abdulihake

 አድራሻ 
1⃣ኮልፌ አጠናተራ ሱ,ቁ095ወይም046
2⃣ቤተል አደባባይ  
ያሉበት ድረስ በነፃ እናመጣለን

 +251920673552/0945540673

@nejashionlinemarketing
 tiktok.com/@nejashi_online_shop
https://nejashionlineshop.com/"
11,13048,,2024-09-24 03:03:57+00:00," በተለያየ መልኩ በስጦታ መልክ የመጣላቹ እቃዎችን ወይም  የቤቶን እቃ መቀየር ከፈለጉ መሸጥ፣ መቀየር መለወጥ ይችላሉ

የቤት እቃዎች   
የስጦታ እቃዎች 
በተለያዩ መልኩ የመጡላቹ እቃዎች
 ከውጪ ሀገርም ሆነ በሀገር ውስጥ

ከፈለጉ እኛጋ በፈለጉት እቃ ይቀይራሉ
አሊያ ይሸጣሉ

 የተለያዩ ከሀገርም ውስጥ ሆነ ከሀገር ውጪ የመጣላቹ እቃ መሸጥ መለወጥ ከፈለጉ 

ይደውሉ   +251920673552

አልያ በውስጥ መስመር እቃውን ይላኩልን
 @abdulihake


https://t.me/nejashionlinemarketing
https://t.me/nejashionlinemarketing"
12,13047,,2024-09-23 10:55:16+00:00,"Brand #Delta EUROPE MINI OVEN *BEST QUALITY *4 ኤሌክትሪክ *ግሪል አሩስቶ መስሪያ *2 ባትራ ያለዉ *ለዳቦ ለፒዛ ለኬክ እና ስጋ መጥበስ ያሚያስችል #High capacity #Power indicator light #40-225°c temprature #1500 w
    ከ 3 ሺ ብር ጀምረው ሲገዙ ስጦታ በነፃ አዘጋጅተናል 

 ዋጋ፦   47 ሺ

 የመረጡትን እቃ በውስጥ መስመር ይላኩልን @abdulihake

 አድራሻ 
1⃣ኮልፌ አጠናተራ ሱ,ቁ095ወይም046
2⃣ቤተል አደባባይ  
ያሉበት ድረስ በነፃ እናመጣለን

 +251920673552/0945540673

@nejashionlinemarketing
 tiktok.com/@nejashi_online_shop
https://nejashionlineshop.com/"
15,13044,,2024-09-23 10:54:42+00:00,Brand #Delta EUROPE MINI OVEN *BEST QUALITY *4 ኤሌክትሪክ *ግሪል አሩስቶ መስሪያ *2 ባትራ ያለዉ *ለዳቦ ለፒዛ ለኬክ እና ስጋ መጥበስ ያሚያስችል #High capacity #Power indicator light #40-225°c temprature #1500 w
16,13043,,2024-09-23 03:09:30+00:00,"ገብቷል 

LG fridge 

308 liter
 ፍን ሲስተም ያለው በረዶ የማይዝ
 ዝቅተኛ ድምፅ
 ሀይል ቆጣቢ
 ዋስትና  ያለው

89,000 birr

 +251920673552"
17,13042,,2024-09-23 03:09:30+00:00,WC TOILET RACK
18,13041,,2024-09-23 03:09:29+00:00,"  WC Toilet  Rack

 የመፀዳጃ ቤት ዕቃዎች  መደርደሪያ
 ጠንካራ ብረት
 ሼልፉ የላሜራ 
 ብዙ ነገሮችን ያስቀምጡበታል
 አገጣጠሙ ቀላል
 በራሱ የሚቆም
 1.60ሜትር ቁመት፣ 50ሣሜ ስፋት እና ሰፊው አካሉ  25ሣሜ ጥልቀት ያለው
 ለኮንዶሚኒየም/አፓርታማ ቤቶች የሚፈለግ
 3500 ብር"
19,13040,,2024-09-23 03:09:29+00:00," ለልጆች ለ ት/ቤት ለምሳቃ ለመክሰስ የሚሆን
sonashi 7 in 1 snack maker

ዘይት እና ሀይል ቆጣቢ 
7 አይነት መቀያየሪያ ያለው 
ብስኩቶች መስሪያ ፣ ዋፍልበ ፣ ግሪል 
ዶናት መስሪያ
ኩኪስ መስሪያ 
ሳንድዊች መስሪያ
የበርገር ስጋ እንዲሁም ስቴክ መጥበሻ

ውስን ፍሬ ነው ያለው  
< Limited Stock 


    ዋጋ፦  

 አድራሻ  

  ኮልፌ አጠናተራ ሱ,ቁ 095 ወይም 046

  ቤተል አደባባይ  ኑረዲን ሱፐር ማርኬት ከፍ ብሎ  

 ያሉበት ድረስ በነፃ እናመጣለን

 የመረጡትን እቃ በውስጥ መስመር ለማውራት        @abdulihake   ይንኩት

 በስልክ ለማዘዝ
   
 +251920673552 
    +251945540673

 Telegram  ነጃሺ ኦላይን 
@nejashimarketingcenter 
@nejashimarketingcenter

 ነጃሺ Online ለወዳጅ ዘመዶ ይላኩ ይሸምቱ ፣ ይደሰቱ፣ ጊዜዎን ይቆጥቡ"
